CodIPVA,FABRICANTE,CATEGORIA,MODELO/VERSÃO
0000213ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 GT EX
0000214ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 RA EX
0000215ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 1200 RA PR
0000218ON,YAMAHA,MOTOCICLETAS/SIMILARES,YAMAHA/NMAX 160 SE
0000225ON,MORE,MOTOCICLETAS/SIMILARES,I/MORE RAN FLY08
0000226ON,VOLTZ,MOTOCICLETAS/SIMILARES,VOLTZ/EVS
0000227ON,VOLTZ,MOTOCICLETAS/SIMILARES,VOLTZ/EV1 SPORT
0000233ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/PCX 160 DLX ABS
0000234ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/PCX 160 ABS
0000235ON,MANGOSTEEN,MOTOCICLETAS/SIMILARES,I/MANGOSTEEN GLOOV V1
0000239ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/PCX 160
0000243ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/NIU UQI GT
0000245ON,MOTTUS,MOTOCICLETAS/SIMILARES,MOTTU/SPORT 110I
0000247ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,HARLEY-DAVIDSON/FLTRKSE
0000249ON,DUCATI,MOTOCICLETAS/SIMILARES,DUCATI/MONSTER
0000250ON,TAILING,MOTOCICLETAS/SIMILARES,I/TAILING K22
0000274ON,JTZ,MOTOCICLETAS/SIMILARES,JTZ/DK160
0000284ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,I/RE CLASSIC 350
0000289ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,I/RE HIMALAYAN
0000290ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,HARLEY-DAVIDSON/RA1250 S
0000291ON,BAJAJ,MOTOCICLETAS/SIMILARES,BAJAJ/DOMINAR D400 T
0000293ON,SHANSU,MOTOCICLETAS/SIMILARES,I/SHANSU CP-3.1
0000295ON,SHANSU,MOTOCICLETAS/SIMILARES,I/SHANSU CP-3
0000303ON,AGRALE,MOTOCICLETAS/SIMILARES,AGRALE/ELEFANT 900
0000305ON,DAFRA,MOTOCICLETAS/SIMILARES,DAFRA/APACHE 200 ABS
0000313ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/HIMALAYAN
0000314ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/CLASSIC 350
0000337ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/SPEED TWIN 900
0000339ON,SMARDA,MOTOCICLETAS/SIMILARES,I/SMARDA X7 HW
0000341ON,WIZTEM,MOTOCICLETAS/SIMILARES,I/WIZTEM ES8008
0000343ON,YAMAHA,MOTOCICLETAS/SIMILARES,YAMAHA/FZ15 FAZER ABS
0000345ON,MORE,MOTOCICLETAS/SIMILARES,I/MORE RAN X20PRO
0000347ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/INT 650
0000348ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/CGT 650
0000353ON,SEGWAY,MOTOCICLETAS/SIMILARES,I/SEGWAY NINE BOT SCOOTER E
0000357ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/SCRAMBLER 900
0000364ON,SMARDA,MOTOCICLETAS/SIMILARES,I/SMARDA SE-03
0000371ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/METEOR E
0000372ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/METEOR F
0000373ON,LAMBRETTA,MOTOCICLETAS/SIMILARES,LAMBRETTA-DEMAIS MODELOS
0000381ON,TAILING,MOTOCICLETAS/SIMILARES,I/TAILING KN5
0000384ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/POLARIS SLINGSHOT SL
0000397ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/CRF 1100L AS DCT
0000398ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/CRF 1100L DCT
0000405ON,YAMAHA,MOTOCICLETAS/SIMILARES,I/YAMAHA NIKEN MXT
0000406ON,SHENGQI,MOTOCICLETAS/SIMILARES,I/SHENGQI GOO X11
0000409ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/METEOR S
0000410ON,HANBIRD,MOTOCICLETAS/SIMILARES,I/HANBIRD EVO-3000
0000414ON,AIMA,MOTOCICLETAS/SIMILARES,I/AIMA POWER EAGLE
0000418ON,ROYAL ENFIELD,MOTOCICLETAS/SIMILARES,RE/SCRAM 411
0000422ON,SHENGQI,MOTOCICLETAS/SIMILARES,I/SHENGQI GOO X16
0000425ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/LONGJIA BEE MONACO
0000428ON,GCX,MOTOCICLETAS/SIMILARES,I/GCX X11 2KW
0000429ON,GCX,MOTOCICLETAS/SIMILARES,I/GCX S8 2KW
0000430ON,GCX,MOTOCICLETAS/SIMILARES,I/GCX X11 3KW
0000432ON,ROTOM,MOTOCICLETAS/SIMILARES,I/ROTOM RAY RTM E-21
0000433ON,LVNENG,MOTOCICLETAS/SIMILARES,I/LVNENG X6
0000434ON,WANGPAI,MOTOCICLETAS/SIMILARES,I/WANGPAI WP800DQT-2
0000446ON,TINBOT,MOTOCICLETAS/SIMILARES,I/TINBOT ES1 S PRO
0000448ON,GCX,MOTOCICLETAS/SIMILARES,I/GCX S9 2KW
0000451ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/LUYUAN MNK3
0000457ON,MS,MOTOCICLETAS/SIMILARES,I/MS S 3K
0000459ON,SMARDA,MOTOCICLETAS/SIMILARES,I/SMARDA SMD X7
0000463ON,WUXI,MOTOCICLETAS/SIMILARES,I/WUXI K20000 DL
0000468ON,AIPAO,MOTOCICLETAS/SIMILARES,I/AIPAO AP-R11
0000471ON,MS,MOTOCICLETAS/SIMILARES,I/MS TOUR 3K
0000472ON,DONGGUAN,MOTOCICLETAS/SIMILARES,I/DONGGUAN TAILG TL600
0000476ON,SHINERAY,MOTOCICLETAS/SIMILARES,SHINERAY/SHI 175
0000477ON,BMW,MOTOCICLETAS/SIMILARES,BMW/F900 R SPORT
0000478ON,BMW,MOTOCICLETAS/SIMILARES,BMW/F900 R SPORT PLUS
0000479ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/CB300F TWISTER CBS
0000480ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/CB300F TWISTER ABS
0000481ON,POLARIS,MOTOCICLETAS/SIMILARES,I/POLARIS SLINGSHOT R
0000486ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/ROCKET 3 GT
0000490ON,LVNENG,MOTOCICLETAS/SIMILARES,I/LVNENG VENTANE VTX
0000492ON,KTM,MOTOCICLETAS/SIMILARES,I/KTM 1290 SUPER ADV.R
0000496ON,DUCATI,MOTOCICLETAS/SIMILARES,DUCATI/MULTISTRADA V2 S
0000502ON,AGRALE,MOTOCICLETAS/SIMILARES,AGRALE/SXT 27.5
0000503ON,AGRALE,MOTOCICLETAS/SIMILARES,AGRALE/SXT 27.5 E
0000504ON,AGRALE,MOTOCICLETAS/SIMILARES,AGRALE/SXT 27.5 EX.
0000506ON,FABRICANTES DIVERSOS,MOTOCICLETAS/SIMILARES,I/CHANGLI E-MART TR502
0000521ON,HK,MOTOCICLETAS/SIMILARES,I/HK R11
0000524ON,SHENGQI,MOTOCICLETAS/SIMILARES,I/SHENGQI X16 HW
0000532ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/FXLRS
0000533ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/FLFBS ANV
0000534ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/RH1250S
0000535ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/RH975S
0000541ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/FXBR
0000542ON,SUZUKI,MOTOCICLETAS/SIMILARES,SUZUKI/GSX-S1000GT
0000543ON,SUZUKI,MOTOCICLETAS/SIMILARES,SUZUKI/GSX-S1000
0000545ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/FXLRST
0000547ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/FLHXS ANV
