CodIPVA,FABRICANTE,CATEGORIA,MODELO/VERSÃO
0100343ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 ALLURE AT
0100344ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 GRIFFE AT
0100345ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 ACTIVE AT1
0100346ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/CHEV CRUZE RS HB AT
0100347ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/CHEV CRUZE MID NB AT
0100348ON,PORSCHE,AUTOMÓVEIS/UTILITÁRIOS,I/PORSCHE TAYCAN 4GTS
0100349ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,HONDA/CITY HATCH LX
0100350ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,HONDA/CITY HATCH TOURING
0100351ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,HONDA/CITY HATCH EX
0100352ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,HONDA/CITY HATCH EXL
0100358ON,TOYOTA,AUTOMÓVEIS/UTILITÁRIOS,I/TOYOTA CAMRY HV
0100363ON,JAC,AUTOMÓVEIS/UTILITÁRIOS,I/JAC E JS1 EXTREME
0100364ON,AUDI,AUTOMÓVEIS/UTILITÁRIOS,I/AUDI RS6 AV HIBRIDO
0100366ON,ASTON MARTIN,AUTOMÓVEIS/UTILITÁRIOS,I/ASTON MARTIN VANT F1
0100374ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C4CACTUS SHINE
0100375ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3 FEEL  1.6
0100376ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3 FEEL PK AT
0100386ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3 FIRST ED AT
0100390ON,MASERATI,AUTOMÓVEIS/UTILITÁRIOS,I/MASERATI MC20
0100391ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,I/FIAT CRONOS 1.0
0100392ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,CHEV/SPIN 1.8L AT LTZ5
0100393ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,CHEV/SPIN 1.8L AT LT7
0100395ON,MINI,AUTOMÓVEIS/UTILITÁRIOS,I/MINI JCW HATCH 3P
0100396ON,MINI,AUTOMÓVEIS/UTILITÁRIOS,I/MINI COUNTRYMAN JCW
0100397ON,AUDI,AUTOMÓVEIS/UTILITÁRIOS,I/AUDI A3 SB HIBRIDO
0100398ON,MINI,AUTOMÓVEIS/UTILITÁRIOS,I/MINI COOPER S 3P
0100402ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,I/FIAT CRONOS PREC 1.3AT
0100405ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/ARGO DRIVE 1.3 AT
0100406ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/ARGO TREKKING 1.3AT
0100407ON,MINI,AUTOMÓVEIS/UTILITÁRIOS,I/MINI COUNTRYMAN PHEV
0100408ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,I/FIAT CRONOS DRIVE 1.0
0100409ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,I/FIAT CRONOS DRIVE1.3AT
0100410ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/CHEV CORVETTE 2LT CONV
0100425ON,AUDI,AUTOMÓVEIS/UTILITÁRIOS,I/AUDI A3 SD HIBRIDO
0100438ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW I4 40
0100439ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW I4 M50
0100441ON,BENTLEY,AUTOMÓVEIS/UTILITÁRIOS,I/BENTLEY CONTI GT SPEED
0100448ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,PEUGEOT/2008 STYLE AT
0100449ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,PEUGEOT/2008 STYLE THP A
0100450ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3 LIVE PK 1.0
0100451ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3 LIVE 1.0
0100452ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3 FIRST ED 1.0
0100453ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3 FEEL 1.0
0100454ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/CHEV CORVETTE 1LT CONV
0100455ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 STYLE MT
0100456ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ EQS 53 4M
0100459ON,JAC,AUTOMÓVEIS/UTILITÁRIOS,I/JAC E-J7
0100460ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/CHEV CORVETTE 3LT CONV
0100463ON,BYD,AUTOMÓVEIS/UTILITÁRIOS,I/BYD HAN AWD GS 680EV
0100477ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ S 680 MAYBACH
0100479ON,PORSCHE,AUTOMÓVEIS/UTILITÁRIOS,I/PORSCHE 911 TARGA 50Y
0100485ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT E2008 GT
0100492ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FASTBACK AUDACE
0100493ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FASTBACK DRIVE
0100495ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FASTBACK IMPETUS
0100498ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ EQA 250
0100501ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB2010TM COMFORT
0100502ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20 10M LIMITED
0100503ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20 10M S.E.
0100504ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20 10M COMFORT
0100505ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB2010TA COMFORT
0100507ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ EQB 250
0100509ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB2010TA FE.COMF
0100511ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB2010TA S.E.
0100513ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB2010TA FE.PT.P
0100517ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,I/CAOACHERY ICAR EQ1 TEC
0100519ON,PORSCHE,AUTOMÓVEIS/UTILITÁRIOS,I/PORSCHE CAYMAN GT4 RS
0100520ON,FERRARI,AUTOMÓVEIS/UTILITÁRIOS,I/FERRARI 296 GTB
0100525ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO MA
0100526ON,FERRARI,AUTOMÓVEIS/UTILITÁRIOS,I/FERRARI 296 GTB
0100529ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ GLA200 AMG LINE
0100530ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FASTBACK TURBO 270
0100533ON,DODGE,AUTOMÓVEIS/UTILITÁRIOS,I/DODGE CHARGER SCAT PK
0100535ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,HONDA/HR-V EXL HS
0100537ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,HONDA/HR-V EX HS
0100539ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20S 10M COMFOR
0100540ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20S 10M S.E.
0100541ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20S 10M LIMITE
0100544ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20S10TA COMFOR
0100545ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20S10TA S.E.
0100547ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20S10TA FE.COM
0100549ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20S10TA FE.P.P
0100550ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA CIVIC HYB TRNG
0100551ON,FYBER,AUTOMÓVEIS/UTILITÁRIOS,FYBER/2000 X
0100554ON,BYD,AUTOMÓVEIS/UTILITÁRIOS,I/BYD DOLPHIN GS 180EV
0100555ON,TOYOTA,AUTOMÓVEIS/UTILITÁRIOS,I/TOYOTA SUPRA PREMIUM
0100565ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO MB
0100566ON,PORSCHE,AUTOMÓVEIS/UTILITÁRIOS,I/PORSCHE TAYCAN 4S CT
0100572ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO CL AB
0100573ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO HL AB
0100581ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/GOL LAST EDITION MPI
0100582ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/GOL LAST EDITION MPI
0100585ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,HONDA/HR-V TOURING
0100586ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,HONDA/HR-V ADVANCE
0100596ON,RENAULT,AUTOMÓVEIS/UTILITÁRIOS,RENAULT/SANDERO SZE10MT
0100602ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/VIRTUS CL AC
0100603ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/VIRTUS AB
0100604ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/VIRTUS MB
0100606ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN SENTRA EXC CVT
0100608ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN SENTRA ADV CVT
0100619ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/CHEV BOLT EUV PREMIER
0100620ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,PEUGEOT/2008 ROADTRIP AT
0100621ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 ROADTRIP A
0100622ON,BENTLEY,AUTOMÓVEIS/UTILITÁRIOS,I/BENTLEY FLYSPUR HYB
0100640ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ EQE 300
0100667ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,I/CAOACHERY ARRIZO6 PROH
0100673ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/VIRTUS HL AC
0100707ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW I7 XDRIVE60
0100712ON,TOYOTA,AUTOMÓVEIS/UTILITÁRIOS,TOYOTA/COROLLA XEI20 PRO
0100716ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,CHEV/SPIN CAVEACES6
0100721ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA CIVIC TYPE-R
0100735ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/MBENZ AMG GT 63 SE PER
0100736ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW I4 EDRIVE35
0100739ON,FERRARI,AUTOMÓVEIS/UTILITÁRIOS,I/FERRARI 296 GTS
0100744ON,PORSCHE,AUTOMÓVEIS/UTILITÁRIOS,I/PORSCHE 911 SPTCLASSIC
0100745ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO TRACK FIRST ED
0100749ON,PORSCHE,AUTOMÓVEIS/UTILITÁRIOS,I/PORSCHE CAYMAN STYLE
0100750ON,PORSCHE,AUTOMÓVEIS/UTILITÁRIOS,I/PORSCHE BOXSTER STYLE
0100751ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO TRACK MA
0100760ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO GTS AD
0100771ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,CHEV/TRACKER 12T A RS
0100773ON,AUDI,AUTOMÓVEIS/UTILITÁRIOS,I/AUDI A4 2.0 TFSI
0100776ON,LAMBORGHINI,AUTOMÓVEIS/UTILITÁRIOS,I/LAMBORGHINI HURACAN ES
0100779ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,CHEV/TRACKER T A MID
0100781ON,LOTUS,AUTOMÓVEIS/UTILITÁRIOS,I/LOTUS EMIRA F EDITION
0100782ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/VIRTUS EXCLUSIVE
0100794ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW M2 COUPE
0100795ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW M2 COUPE TRACK
0100810ON,JAGUAR,AUTOMÓVEIS/UTILITÁRIOS,I/JAGUAR F-TYPE 300CB 75
0100813ON,FERRARI,AUTOMÓVEIS/UTILITÁRIOS,I/FERRARI 812 GTS
0100815ON,TOYOTA,AUTOMÓVEIS/UTILITÁRIOS,I/TOYOTA COROLLA HB GR R
0100824ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,CHEV/SPIN SM ACESS LS
0100825ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,CHEV/SPIN SM ACESS LT7
0100833ON,LAMBORGHINI,AUTOMÓVEIS/UTILITÁRIOS,I/LAMBORGHINI HURACAN TE
0100855ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB2010TA PLAT.SS
0100856ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB2010TA SENSE
0100860ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/HB20S10TA PLA.SS
0100878ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C4 CACTUS NOIR
0100886ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 ALLUR T200
0100887ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 STYLE T200
0100888ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 GRIFF T200
0100891ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA ZR-V TOURING
0100900ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ A200 AMG LINE
0100901ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/MB AMG GT63 S PER F1
0100902ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ EQS450
0100903ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ EQE300 SUV
0100911ON,BYD,AUTOMÓVEIS/UTILITÁRIOS,I/BYD SEAL AWD GS 590EV
0100913ON,ASTON MARTIN,AUTOMÓVEIS/UTILITÁRIOS,I/ASTON MARTIN DBS770 UC
0100917ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO SENSE
0100931ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW I5 M60
0100938ON,DODGE,AUTOMÓVEIS/UTILITÁRIOS,I/DODGE CHALLENGER SRTWJ
0100939ON,ASTON MARTIN,AUTOMÓVEIS/UTILITÁRIOS,I/ASTON MARTIN VANTAGE R
0100947ON,DODGE,AUTOMÓVEIS/UTILITÁRIOS,I/DODGE CHALLENGER SRTSS
0100956ON,PORSCHE,AUTOMÓVEIS/UTILITÁRIOS,I/PORSCHE 911 DAKAR
0100963ON,AUDI,AUTOMÓVEIS/UTILITÁRIOS,I/AUDI A5 2.0 SB QUATTRO
0100971ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,I/VW GOLF GTI 2.0T
0100972ON,AUDI,AUTOMÓVEIS/UTILITÁRIOS,I/AUDI A4 2.0 SE QUATTRO
0100973ON,AUDI,AUTOMÓVEIS/UTILITÁRIOS,I/AUDI RS 5 SB COMP PLUS
0100975ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FASTBACK ABARTH 270
0100987ON,AUDI,AUTOMÓVEIS/UTILITÁRIOS,I/AUDI RS6 AV PERF HIB
0100991ON,GWM,AUTOMÓVEIS/UTILITÁRIOS,I/GWM ORA 03 GT BEV63
0101003ON,WHEEGO,AUTOMÓVEIS/UTILITÁRIOS,I/WHEEGO WHIP LIFE
0101005ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW 745LE
0101016ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,9/MB S580E LONG
0101017ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3AIRCROSS FL PK
0101019ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3AIRCROSS FL
0101020ON,FERRARI,AUTOMÓVEIS/UTILITÁRIOS,I/FERRARI PUROSANGUE
0101023ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3AIRCROSS SH
0101033ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FASTBACK LIMITED ED
0101036ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3 LIVE PACK AT
0101037ON,GWM,AUTOMÓVEIS/UTILITÁRIOS,I/GWM ORA 03 SKIN BEV48
0101056ON,BYD,AUTOMÓVEIS/UTILITÁRIOS,I/BYD DOLPHIN PLUS 310EV
0101061ON,BMW,AUTOMÓVEIS/UTILITÁRIOS,I/BMW 530E M SPORT
0101065ON,FORD,AUTOMÓVEIS/UTILITÁRIOS,I/FORD MUSTANG NEW GT V8
0101069ON,RENAULT,AUTOMÓVEIS/UTILITÁRIOS,RENAULT/KARDIAN EVO MT
0101081ON,PORSCHE,AUTOMÓVEIS/UTILITÁRIOS,I/PORSCHE BOXSTER SPD RS
0101084ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ S580E MAYBACH
0101099DN,CHRYSLER,AUTOMÓVEIS/UTILITÁRIOS,CHRYSLER-DEMAIS MODELOS
0101164ON,ROLLS ROYCE,AUTOMÓVEIS/UTILITÁRIOS,I/ROLLS ROYCE PHANTOM DC
0101202ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CAOACHERY/ARRIZO5 RT
0101203ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CAOACHERY/ARRIZO5 RTS
0101204ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CAOACHERY/ARRIZO6 GSX
0101206ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CAOACHERY/ARRIZO6 TSE
0101209ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ CLA200 AMG LINE
0101225ON,RENAULT,AUTOMÓVEIS/UTILITÁRIOS,RENAULT/KARDIAN EVO AT
0101227ON,RENAULT,AUTOMÓVEIS/UTILITÁRIOS,RENAULT/KARDIAN TECH AT
0101228ON,RENAULT,AUTOMÓVEIS/UTILITÁRIOS,RENAULT/KARDIAN PREM AT
0101230ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 2008 ACT T200
0101231ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 2008 ALLU T200
0101232ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 2008 GT T200
0101240ON,BYD,AUTOMÓVEIS/UTILITÁRIOS,I/BYD DOLPHIN MINI GS EV
0101242ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO TRACK ROCKIN RIO
0101244ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 GT T200
0101248ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN VERSA SR CVT
0101249ON,PEUGEOT,AUTOMÓVEIS/UTILITÁRIOS,I/PEUGEOT 208 ACTIVE MT
0101250ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ EQB350 4M
0101251ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/POLO TRACK MA RB
0101254ON,DODGE,AUTOMÓVEIS/UTILITÁRIOS,I/DODGE CHARGER RT SP
0101269ON,MINI,AUTOMÓVEIS/UTILITÁRIOS,I/MINI COOPER S 3P TOP
0101270ON,MINI,AUTOMÓVEIS/UTILITÁRIOS,I/MINI COOPER S 3P EXC
0101276ON,MINI,AUTOMÓVEIS/UTILITÁRIOS,I/MINI COOPER SE
0101280ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/C3 YOU 1.0T CVT
0101289ON,DODGE,AUTOMÓVEIS/UTILITÁRIOS,I/DODGE CHALLENGER SRTJB
0101295ON,BYD,AUTOMÓVEIS/UTILITÁRIOS,I/BYD DOLPHIN MINI GS5EV
0101297ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FASTBACK TURBO 200
0101313ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ GLB220 4M PROG
0101316ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/BASALT SHINET200
0101317ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/BASALT FEEL T200
0101318ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/BASALT FEEL 1.0
0101330ON,MINI,AUTOMÓVEIS/UTILITÁRIOS,I/MINI COUNTRYMAN SE TOP
0101336ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ CLA200 PROG
0101339ON,BYD,AUTOMÓVEIS/UTILITÁRIOS,I/BYD KING GS DM
0101340ON,BYD,AUTOMÓVEIS/UTILITÁRIOS,I/BYD KING GL DM
0101352ON,CITROEN,AUTOMÓVEIS/UTILITÁRIOS,CITROEN/BASALT T200 1ST
0101357ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ GLB220 4M AMG L
0101368ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ AMG C63S EP F1
0101376ON,MINI,AUTOMÓVEIS/UTILITÁRIOS,I/MINI COOPER S 5P TOP
0101401ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/ARGO ENDUR 1.3 MT
0101406ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FASTBACK AUDACE HYB
0101408ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FASTBACK IMPETUS HY
0101420ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/CRETA16G ULTIMTE
0101425ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/CRETA1TF COMFORT
0101426ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/CRETA1TF LIMITED
0101436ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/CRETA1TF PLATINU
0101438ON,HYUNDAI,AUTOMÓVEIS/UTILITÁRIOS,HYUNDAI/CRETA1TF NLINE
0101443ON,BYD,AUTOMÓVEIS/UTILITÁRIOS,I/BYD YUAN PRO GS 290EV
0101456ON,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VW/VIRTUS SENSE
0101458ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ SL63S EP
0101486ON,MERCEDES-BENZ,AUTOMÓVEIS/UTILITÁRIOS,I/M.BENZ AMG S63 EP
0101699ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/ALFA ROMEO
0102000ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO 16V
0102001ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO ABARTH
0102002ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO
0102003ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO M.SCHUMACHER
0102004ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO FLEX
0102005ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO SPORTING FLEX
0102006ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO SPORTING DUAL
0102007ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO FLEX DUALOGIC
0102009ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO BLACKMOTION
0102010ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO ATTRACTIVE
0102011ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/STILO ATTRACTIVE DL
0102099ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FIAT
0102401ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO CS 1.3
0102402ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO CS 1.5
0102403ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO S 1.3
0102404ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO CSL
0102405ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO SL
0102406ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO CS 1.6
0102407ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO SL 1.6
0102408ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO CSL 1.6
0102409ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO S 1.5
0102410ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO S IE
0102411ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO SL IE
0102413ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO CSL 1.6 MPI
0102414ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO CS IE
0102415ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO CSL IE
0102499ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PREMIO
0102601ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/UNO CS
0102602ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/UNO 1.5 R
0102603ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/UNO S
0102604ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/UNO SX
